"folio","fpago","almacen","fechatt","cliente","importe","serie","hora","agente","sucursal","id"
"337,533","C","25","2023-01-03","MOSTRADOR","65","TPA","08:05:12","156","PAPAN","273388"
"567,126","C","05","2023-01-03","MOSTRADOR","142","TT1","08:04:01","640","TZ","273389"
"8,110","K","14","2023-01-02","MOSTRADOR","2","TT4","11:40:59","377","TEZIU","273436"
"289,943","C","21","2023-01-11","MOSTRADOR","46","TTX","08:07:31","96","TX","273455"
"165,286","C","27","2023-01-11","MOSTRADOR","81","TT3","08:22:23","46","HIDAL","273456"
"8,641","C","14","2023-01-11","MOSTRADOR","38","TT4","09:43:01","377","TEZIU","273457"
"492,794","C","19","2023-01-11","MOSTRADOR","462","TID","08:12:19","511","INDE","273634"
"68,868","C","35","2023-01-11","MOSTRADOR","35","TPP","08:03:08","509","PAPA2","273635"
"568,541","C","05","2023-01-11","MOSTRADOR","68","TT1","08:36:06","45","TZ","273636"
"604,943","C","08","2023-01-03","MOSTRADOR","36","TT2","08:03:05","372","RP","273969"
"8,034","C","14","2023-01-02","MOSTRADOR","7","TT4","10:02:59","377","TEZIU","274121"
"604,946","C","08","2023-01-03","MOSTRADOR","36","TT2","08:15:50","372","RP","274241"
"288,973","C","21","2023-01-03","MOSTRADOR","381","TTX","08:06:18","219","TX","274245"
"32,260","C","12","2023-01-04","MOSTRADOR","63","TXA","08:20:28","55","XALAP","274363"
"29,153","K","20","2023-01-04","MIGUEL NU","155","3PZ","08:23:57","587","PR","274364"
"604,944","C","08","2023-01-03","MOSTRADOR","50","TT2","08:07:49","769","RP","274386"
"68,017","C","35","2023-01-02","MOSTRADOR","34","TPP","08:06:29","509","PAPA2","274389"
"68,016","C","35","2023-01-02","MOSTRADOR","64","TPP","08:02:29","736","PAPA2","274390"
"164,601","C","27","2023-01-02","MOSTRADOR","142","TT3","09:35:43","788","HIDAL","274391"
"164,595","C","27","2023-01-02","MOSTRADOR","1","TT3","08:10:29","779","HIDAL","274392"
"32,098","C","12","2023-01-02","MOSTRADOR","2","TXA","08:06:24","55","XALAP","274393"
"534,104","C","03","2023-01-02","MOSTRADOR","70","TME","08:02:38","14","ME","274394"
"534,105","C","03","2023-01-02","MOSTRADOR","129","TME","08:05:28","14","ME","274395"
"3,329","C","12","2023-01-02","PRADO DEL RIO","39","3XA","09:58:00","55","XALAP","274396"
"8,098","C","14","2023-01-02","MOSTRADOR","326","TT4","08:26:32","784","TEZIU","274397"
"491,162","C","19","2023-01-02","MOSTRADOR","30","TID","08:09:45","511","INDE","274398"
"8,099","C","14","2023-01-02","MOSTRADOR","799","TT4","09:34:32","762","TEZIU","274399"
"567,127","C","05","2023-01-03","MOSTRADOR","155","TT1","08:07:59","45","TZ","274400"
"534,324","C","03","2023-01-03","MOSTRADOR","392","TME","08:13:05","14","ME","274401"
"604,701","C","08","2023-01-02","MOSTRADOR","376","TT2","08:07:19","423","RP","274402"
"337,324","C","25","2023-01-02","MOSTRADOR","354","TPA","08:14:16","456","PAPAN","274403"
"164,597","K","27","2023-01-02","MOSTRADOR","602","TT3","08:43:39","779","HIDAL","274404"
"604,702","C","08","2023-01-02","MOSTRADOR","0","TT2","08:07:24","47","RP","274405"
"534,107","C","03","2023-01-02","MOSTRADOR","20","TME","08:34:41","14","ME","274406"
"337,323","C","25","2023-01-02","MOSTRADOR","56","TPA","08:05:54","156","PAPAN","274407"
"491,388","C","19","2023-01-03","MOSTRADOR","82","TID","08:49:11","753","INDE","274408"
"567,130","C","05","2023-01-03","MOSTRADOR","63","TT1","09:00:55","45","TZ","274409"
"567,128","C","05","2023-01-03","MOSTRADOR","54","TT1","08:41:50","45","TZ","274410"
"288,974","C","21","2023-01-03","MOSTRADOR","77","TTX","08:08:19","219","TX","274411"
"604,703","C","08","2023-01-02","MOSTRADOR","71","TT2","08:12:47","765","RP","274412"
"250,167","C","20","2023-01-03","MOSTRADOR","94","TPZ","08:11:14","714","PR","274413"
"337,325","C","25","2023-01-02","MOSTRADOR","60","TPA","08:18:07","156","PAPAN","274414"
"604,945","C","08","2023-01-03","MOSTRADOR","225","TT2","08:09:35","372","RP","274415"
"566,876","C","05","2023-01-02","MOSTRADOR","5","TT1","08:43:49","45","TZ","274416"
"604,706","C","08","2023-01-02","MOSTRADOR","28","TT2","08:26:21","47","RP","274417"
"288,840","C","21","2023-01-02","MOSTRADOR","457","TTX","08:13:18","397","TX","274418"
"68,018","C","35","2023-01-02","MOSTRADOR","34","TPP","08:08:29","758","PAPA2","274419"
"68,025","C","35","2023-01-02","MOSTRADOR","164","TPP","09:26:14","509","PAPA2","274420"
"68,019","K","35","2023-01-02","MOSTRADOR","467","TPP","08:12:44","736","PAPA2","274421"
"2,377","C","37","2023-01-02","MOSTRADOR","135","3CD","08:08:40","5","81","274422"
"130,812","C","05","2023-01-02","SUCURSAL TEZIUTLAN 2","0","TS","08:09:02","0","TZ","274423"
"604,704","C","08","2023-01-02","MOSTRADOR","27","TT2","08:24:27","372","RP","274424"
"288,839","C","21","2023-01-02","MOSTRADOR","59","TTX","08:12:46","219","TX","274425"
"68,143","C","35","2023-01-03","MOSTRADOR","94","TPP","08:19:49","759","PAPA2","274426"
"343,432","C","04","2023-01-03","MOSTRADOR","191","TPL","08:34:22","10","PVERD","274427"
"337,535","C","25","2023-01-03","MOSTRADOR","62","TPA","08:10:43","156","PAPAN","274428"
"337,534","K","25","2023-01-03","MOSTRADOR","67","TPA","08:09:45","456","PAPAN","274429"
"491,381","C","19","2023-01-03","MOSTRADOR","362","TID","08:04:39","579","INDE","274430"
"394,785","C","06","2023-01-03","MOSTRADOR","38","TTP","08:09:44","337","TL","274431"
"130,812","C","08","2023-01-02",,"0","TS","08:09:02","0","TZ","274432"
"32,099","C","12","2023-01-02","MOSTRADOR","81","TXA","08:10:35","55","XALAP","274433"
"68,020","C","35","2023-01-02","MOSTRADOR","26","TPP","08:26:13","678","PAPA2","274434"
"164,595","C","27","2023-01-02","MOSTRADOR","17","TT3","08:28:50","767","HIDAL","274435"
"491,381","C","19","2023-01-03","MOSTRADOR","143","TID","08:10:14","511","INDE","274436"
"534,106","C","03","2023-01-02","MOSTRADOR","28","TME","08:28:56","14","ME","274437"
"288,841","W","21","2023-01-02","MOSTRADOR","1","TTX","08:17:19","96","TX","274438"
"491,163","C","19","2023-01-02","MOSTRADOR","88","TID","08:11:26","753","INDE","274439"
"8,101","C","14","2023-01-02","MOSTRADOR","42","TT4","09:38:46","766","TEZIU","274440"
"491,165","K","19","2023-01-02","MOSTRADOR","235","TID","08:14:44","511","INDE","274441"
"394,673","C","06","2023-01-02","MOSTRADOR","5","TTP","08:27:51","18","TL","274442"
"343,430","C","04","2023-01-03","MOSTRADOR","367","TPL","08:13:11","10","PVERD","274443"
"491,382","C","19","2023-01-03","MOSTRADOR","362","TID","08:10:49","579","INDE","274444"
"26,220","C","24","2023-01-02","MOSTRADOR","61","TZM","08:13:28","710","TMZ","274445"
"566,873","C","05","2023-01-02","MOSTRADOR","15","TT1","08:13:17","211","TZ","274446"
"491,164","C","19","2023-01-02","MOSTRADOR","33","TID","08:13:51","579","INDE","274447"
"32,100","C","12","2023-01-02","MOSTRADOR","159","TXA","08:14:58","737","XALAP","274448"
"160,004","C","28","2023-01-02","MOSTRADOR","73","TCZ","08:13:37","322","COAT","274449"
"26,221","C","24","2023-01-02","MOSTRADOR","130","TZM","08:15:03","710","TMZ","274450"
"604,705","C","08","2023-01-02","MOSTRADOR","170","TT2","08:25:36","372","RP","274451"
"343,429","C","04","2023-01-03","MOSTRADOR","42","TPL","08:12:21","94","PVERD","274452"
"534,324","C","03","2023-01-03","MOSTRADOR","2","TME","08:09:11","742","ME","274453"
"196,383","C","07","2023-01-03","MOSTRADOR","82","TAV","08:12:36","589","AC","274454"
"8,162","W","14","2023-01-03","MOSTRADOR","70","TT4","08:18:53","766","TEZIU","274455"
"491,167","C","19","2023-01-02","MOSTRADOR","910","TID","08:19:12","579","INDE","274456"
"337,327","C","25","2023-01-02","MOSTRADOR","15","TPA","08:21:12","456","PAPAN","274457"
"26,912","K","21","2023-01-02","DANIEL BARRON ESCRIBANO","277","3TX","08:15:57","219","TX","274458"
"33,982","C","25","2023-01-03","MUNICIPIO DE PAPANTLA","375","3PA","08:38:54","508","PAPAN","274459"
"288,842","C","21","2023-01-02","MOSTRADOR","103","TTX","08:19:12","397","TX","274460"
"566,874","C","05","2023-01-02","MOSTRADOR","246","TT1","08:35:18","211","TZ","274461"
"491,166","C","19","2023-01-02","MOSTRADOR","229","TID","08:18:56","579","INDE","274462"
"27,874","C","26","2023-01-03","MOSTRADOR","37","TTI","08:48:39","166","TIHUA","274463"
"412,659","C","36","2023-01-02","MOSTRADOR","113","TAF","08:17:37","169","ALFIN","274464"
"604,947","C","08","2023-01-03","MOSTRADOR","21","TT2","08:26:28","765","RP","274465"
"337,536","C","25","2023-01-03","MOSTRADOR","175","TPA","08:15:22","508","PAPAN","274466"
"288,847","C","21","2023-01-02","MOSTRADOR","37","TTX","09:13:42","96","TX","274467"
"26,223","C","24","2023-01-02","MOSTRADOR","4","TZM","08:28:54","638","TMZ","274468"
"491,383","C","19","2023-01-03","MOSTRADOR","762","TID","08:24:28","753","INDE","274469"
"567,131","C","05","2023-01-03","MOSTRADOR","14","TT1","09:03:31","45","TZ","274470"
"32,179","C","12","2023-01-03","MOSTRADOR","23","TXA","08:13:54","55","XALAP","274471"
"566,882","C","05","2023-01-02","MOSTRADOR","147","TT1","09:20:23","640","TZ","274472"
"196,384","C","07","2023-01-03","MOSTRADOR","52","TAV","09:03:11","589","AC","274473"
"566,881","C","05","2023-01-02","MOSTRADOR","160","TT1","09:00:13","45","TZ","274474"
"394,672","C","06","2023-01-02","MOSTRADOR","146","TTP","08:18:41","18","TL","274475"
"337,326","C","25","2023-01-02","MOSTRADOR","29","TPA","08:19:00","508","PAPAN","274476"
"337,537","C","25","2023-01-03","MOSTRADOR","27","TPA","08:19:12","777","PAPAN","274477"
"32,181","C","12","2023-01-03","MOSTRADOR","12","TXA","08:50:23","55","XALAP","274478"
"160,130","C","28","2023-01-03","MOSTRADOR","242","TCZ","09:12:14","507","COAT","274479"
"8,161","C","14","2023-01-03","MOSTRADOR","40","TT4","08:17:42","784","TEZIU","274480"
"26,496","C","24","2023-01-03","MOSTRADOR","1","TZM","10:30:42","638","TMZ","274481"
"412,778","C","36","2023-01-03","MOSTRADOR","200","TAF","08:19:25","169","ALFIN","274482"
"394,786","C","06","2023-01-03","MOSTRADOR","553","TTP","08:20:50","774","TL","274483"
"32,101","C","12","2023-01-02","MOSTRADOR","103","TXA","08:25:54","55","XALAP","274484"
"491,168","C","19","2023-01-02","MOSTRADOR","57","TID","08:24:12","579","INDE","274485"
"394,680","C","06","2023-01-02","MOSTRADOR","500","TTP","09:02:12","18","TL","274486"
"32,102","C","12","2023-01-02","MOSTRADOR","142","TXA","08:32:23","55","XALAP","274487"
"337,328","C","25","2023-01-02","MOSTRADOR","45","TPA","08:24:50","156","PAPAN","274488"
"160,128","C","28","2023-01-03","MOSTRADOR","37","TCZ","08:17:49","625","COAT","274489"
"201,417","C","29","2023-01-02","MOSTRADOR","450","TGZ","08:55:53","524","GZAMO","274490"
"412,660","C","36","2023-01-02","MOSTRADOR","154","TAF","08:45:04","169","ALFIN","274491"
"39,804","C","04","2023-01-03","ELIESER AGUIRRE","53","3PL","08:19:34","94","PVERD","274492"
"604,948","C","08","2023-01-03","MOSTRADOR","171","TT2","08:37:03","765","RP","274493"
"337,538","C","25","2023-01-03","MOSTRADOR","95","TPA","08:20:04","456","PAPAN","274494"
"29,129","C","20","2023-01-02","EMIRET QUINTANILLA LARRAGA","900","3PZ","08:56:37","587","PR","274495"
"196,316","C","07","2023-01-02","MOSTRADOR","4","TAV","08:26:06","589","AC","274496"
"26,226","C","24","2023-01-02","MOSTRADOR","370","TZM","08:39:52","710","TMZ","274497"
"250,105","C","20","2023-01-02","MOSTRADOR","112","TPZ","09:14:50","587","PR","274498"
"394,674","C","06","2023-01-02","MOSTRADOR","1","TTP","08:29:40","337","TL","274499"
"337,537","C","25","2023-01-03","MOSTRADOR","1","TPA","08:14:57","507","PAPAN","274500"
"20,296","C","09","2023-01-03","MOSTRADOR","906","3MA","08:21:46","538","CA","274501"
"26,222","C","24","2023-01-02","MOSTRADOR","1","TZM","08:27:09","710","TMZ","274502"
"641","C","14","2023-01-03","VICTOR MANUEL SEDANO LUJAN","1","3T4","10:28:31","766","TEZIU","274503"
"196,317","C","07","2023-01-02","MOSTRADOR","164","TAV","08:26:56","735","AC","274504"
"337,331","C","25","2023-01-02","MOSTRADOR","43","TPA","08:35:10","156","PAPAN","274505"
"604,707","C","08","2023-01-02","MOSTRADOR","26","TT2","08:26:25","372","RP","274506"
"26,222","C","24","2023-01-02","MOSTRADOR","4","TZM","08:34:34","16","TMZ","274507"
"534,324","C","03","2023-01-03","MOSTRADOR","84","TME","08:19:36","14","ME","274508"
"32,103","C","12","2023-01-02","MOSTRADOR","61","TXA","08:50:40","55","XALAP","274509"
"604,708","C","08","2023-01-02","MOSTRADOR","86","TT2","08:44:42","765","RP","274510"
"250,168","C","20","2023-01-03","MOSTRADOR","568","TPZ","08:20:31","714","PR","274511"
"491,169","C","19","2023-01-02","MOSTRADOR","37","TID","08:27:23","511","INDE","274512"
"8,163","C","14","2023-01-03","MOSTRADOR","9","TT4","08:22:54","784","TEZIU","274513"
"534,325","C","03","2023-01-03","MOSTRADOR","138","TME","08:20:05","14","ME","274514"
"604,709","C","08","2023-01-02","MOSTRADOR","89","TT2","08:48:42","372","RP","274515"
"160,005","C","28","2023-01-02","MOSTRADOR","96","TCZ","08:27:41","322","COAT","274516"
"491,170","C","19","2023-01-02","MOSTRADOR","31","TID","08:29:16","511","INDE","274517"
"23,290","C","08","2023-01-02","WALTER ORDO","1","3T2","09:10:54","3","RP","274518"
"337,539","C","25","2023-01-03","MOSTRADOR","56","TPA","08:20:47","777","PAPAN","274519"
"288,843","C","21","2023-01-02","MOSTRADOR","40","TTX","08:35:54","219","TX","274520"
"491,171","C","19","2023-01-02","MOSTRADOR","11","TID","08:31:46","511","INDE","274521"
"164,684","C","27","2023-01-03","MOSTRADOR","93","TT3","08:27:55","778","HIDAL","274522"
"250,110","C","20","2023-01-02","MOSTRADOR","1","TPZ","09:49:40","587","PR","274523"
"26,225","C","24","2023-01-02","MOSTRADOR","305","TZM","08:37:15","638","TMZ","274524"
"394,675","C","06","2023-01-02","MOSTRADOR","75","TTP","08:31:25","18","TL","274525"
"288,844","C","21","2023-01-02","MOSTRADOR","95","TTX","08:39:21","397","TX","274526"
"26,224","C","24","2023-01-02","MOSTRADOR","368","TZM","08:32:58","710","TMZ","274527"
"62,913","C","35","2023-01-03",,"0","TAS","08:22:55","509","SUPP","274528"
"337,540","C","25","2023-01-03","MOSTRADOR","476","TPA","08:22:48","508","PAPAN","274529"
"68,145","C","35","2023-01-03","MOSTRADOR","15","TPP","09:11:19","759","PAPA2","274530"
"201,414","C","29","2023-01-02","MOSTRADOR","63","TGZ","08:36:13","771","GZAMO","274531"
"201,560","C","29","2023-01-03","MOSTRADOR","274","TGZ","08:55:58","520","GZAMO","274532"
"491,172","C","19","2023-01-02","MOSTRADOR","30","TID","08:32:47","753","INDE","274533"
"17,252","C","29","2023-01-02","MOSTRADOR","435","3GZ","08:40:06","574","GZAMO","274534"
"164,596","C","27","2023-01-02","MOSTRADOR","109","TT3","08:37:08","767","HIDAL","274535"
"337,329","C","25","2023-01-02","MOSTRADOR","79","TPA","08:34:08","777","PAPAN","274536"
"337,329","C","25","2023-01-02","MOSTRADOR","9","TPA","08:29:01","156","PAPAN","274537"
"337,330","C","25","2023-01-02","MOSTRADOR","19","TPA","08:34:15","156","PAPAN","274538"
"534,326","C","03","2023-01-03","MOSTRADOR","45","TME","08:22:30","14","ME","274539"
"164,684","C","27","2023-01-03","MOSTRADOR","3","TT3","08:32:28","46","HIDAL","274540"
"534,109","C","03","2023-01-02","MOSTRADOR","56","TME","08:41:11","14","ME","274541"
"491,173","C","19","2023-01-02","MOSTRADOR","36","TID","08:35:34","753","INDE","274542"
"33,962","W","25","2023-01-02","ISAIAS ARTURO GUERRERO ACOSTA","219","3PA","08:57:51","777","PAPAN","274543"
"62,913","C","34","2023-01-03",,"0","TAS","08:22:55","509","SUPP","274544"
"574,580","C","17","2023-01-02","MOSTRADOR","34","TMS","08:36:18","693","MISAN","274545"
"574,584","C","17","2023-01-02","MOSTRADOR","30","TMS","09:20:56","689","MISAN","274546"
"574,581","C","17","2023-01-02","MOSTRADOR","31","TMS","08:37:09","693","MISAN","274547"
"8,164","C","14","2023-01-03","MOSTRADOR","23","TT4","08:39:41","766","TEZIU","274548"
"412,779","C","36","2023-01-03","MOSTRADOR","18","TAF","08:30:10","169","ALFIN","274549"
"343,431","C","04","2023-01-03","MOSTRADOR","28","TPL","08:25:34","538","PVERD","274550"
"26,922","C","21","2023-01-03","MAPLE DNV","177","3TX","09:15:22","725","TX","274551"
"100,011","C","31","2023-01-02","MOSTRADOR","72","TR2","08:41:52","319","VEPR2","274552"
"534,108","C","03","2023-01-02","MOSTRADOR","22","TME","08:37:58","743","ME","274553"
"160,006","C","28","2023-01-02","MOSTRADOR","40","TCZ","08:38:03","507","COAT","274554"
"566,875","C","05","2023-01-02","MOSTRADOR","19","TT1","08:37:36","211","TZ","274555"
"491,174","C","19","2023-01-02","MOSTRADOR","256","TID","08:38:06","753","INDE","274556"
"491,384","C","19","2023-01-03","MOSTRADOR","49","TID","08:28:18","753","INDE","274557"
"20,297","C","09","2023-01-03","MOSTRADOR","280","3MA","08:27:00","538","CA","274558"
"62,876","C","37","2023-01-02","SUCURSAL TUXPAN","0","TAS","08:38:27","5","CEDIS","274559"
"343,434","C","04","2023-01-03","MOSTRADOR","124","TPL","08:54:45","782","PVERD","274560"
"288,975","C","21","2023-01-03","MOSTRADOR","69","TTX","08:32:34","219","TX","274561"
"62,876","C","21","2023-01-02",,"0","TAS","08:38:27","5","CEDIS","274562"
"604,712","C","08","2023-01-02","MOSTRADOR","21","TT2","09:00:35","372","RP","274563"
"394,676","C","06","2023-01-02","MOSTRADOR","25","TTP","08:38:58","18","TL","274564"
"26,227","C","24","2023-01-02","MOSTRADOR","73","TZM","08:41:57","638","TMZ","274565"
"491,174","C","19","2023-01-02","MOSTRADOR","178","TID","08:43:32","511","INDE","274566"
"201,418","C","29","2023-01-02","MOSTRADOR","116","TGZ","09:02:21","771","GZAMO","274567"
"566,879","C","05","2023-01-02","MOSTRADOR","202","TT1","08:57:44","211","TZ","274568"
"68,146","C","35","2023-01-03","MOSTRADOR","7","TPP","09:12:12","678","PAPA2","274569"
"130,834","C","24","2023-01-03",,"0","TS","08:28:27","708","297.","274570"
"337,541","C","25","2023-01-03","MOSTRADOR","955","TPA","09:04:33","508","PAPAN","274571"
"164,685","C","27","2023-01-03","MOSTRADOR","5","TT3","08:29:05","779","HIDAL","274572"
"160,007","C","28","2023-01-02","MOSTRADOR","34","TCZ","08:49:48","507","COAT","274573"
"196,318","C","07","2023-01-02","MOSTRADOR","97","TAV","08:42:17","589","AC","274574"
"3,597","C","24","2023-01-02","AURORA MENDEZ MENDEZ","73","3ZM","08:43:24","710","TMZ","274575"
"491,208","C","19","2023-01-02","MOSTRADOR","46","TID","11:09:41","511","INDE","274576"
"394,677","C","06","2023-01-02","MOSTRADOR","34","TTP","08:45:16","18","TL","274577"
"604,950","C","08","2023-01-03","MOSTRADOR","15","TT2","08:40:24","372","RP","274578"
"534,112","C","03","2023-01-02","MOSTRADOR","60","TME","08:51:32","719","ME","274579"
"130,834","C","34","2023-01-03",,"0","TS","08:28:26","708","297.","274580"
"534,116","C","03","2023-01-02","MOSTRADOR","55","TME","09:13:15","14","ME","274581"
"20,291","C","09","2023-01-02","MOSTRADOR","790","3MA","08:42:46","34","CA","274582"
"26,466","C","24","2023-01-03","MOSTRADOR","107","TZM","08:33:37","638","TMZ","274583"
"100,012","C","31","2023-01-02","MOSTRADOR","412","TR2","08:43:01","727","VEPR2","274584"
"62,914","C","35","2023-01-03","SUCURSAL VERACRUZ","0","TAS","08:30:11","509","SUPP","274585"
"26,238","C","24","2023-01-02","MOSTRADOR","107","TZM","09:08:28","638","TMZ","274586"
"534,330","C","03","2023-01-03","MOSTRADOR","593","TME","08:54:14","14","ME","274587"
"394,787","C","06","2023-01-03","MOSTRADOR","313","TTP","08:29:43","18","TL","274588"
"100,013","K","31","2023-01-02","MOSTRADOR","220","TR2","08:44:11","684","VEPR2","274589"
"394,790","C","06","2023-01-03","MOSTRADOR","35","TTP","08:51:09","616","TL","274590"
"534,110","C","03","2023-01-02","MOSTRADOR","17","TME","08:45:33","719","ME","274591"
"491,175","C","19","2023-01-02","MOSTRADOR","78","TID","08:43:33","511","INDE","274592"
"412,681","C","36","2023-01-02","MOSTRADOR","37","TAF","10:39:01","729","ALFIN","274593"
"62,914","Z","30","2023-01-03",,"0","TAS","08:30:11","509","SUPP","274594"
"201,415","K","29","2023-01-02","MOSTRADOR","277","TGZ","08:44:37","771","GZAMO","274595"
"534,334","C","03","2023-01-03","MOSTRADOR","126","TME","09:13:05","14","ME","274596"
"66,556","C","37","2023-01-03","SURCURSAL MELCHOR OCAMPO (MATRIZ)","0","TR","08:30:58","5","CEDIS","274597"
"66,556","C","24","2023-01-03",,"0","TR","08:30:57","5","CEDIS","274598"
"26,228","C","24","2023-01-02","MOSTRADOR","18","TZM","08:43:49","638","TMZ","274599"
"33,971","R","25","2023-01-02","ANEM-IGA INFRAESTRUCTURA","2","3PA","13:25:04","508","PAPAN","274600"
"567,137","C","05","2023-01-03","MOSTRADOR","29","TT1","09:43:04","45","TZ","274601"
"394,791","C","06","2023-01-03","MOSTRADOR","3","TTP","08:56:06","18","TL","274602"
"491,385","C","19","2023-01-03","MOSTRADOR","69","TID","08:31:42","511","INDE","274603"
"201,561","C","29","2023-01-03","MOSTRADOR","325","TGZ","09:01:38","524","GZAMO","274604"
"201,557","C","29","2023-01-03","MOSTRADOR","210","TGZ","08:37:58","783","GZAMO","274605"
"491,177","C","19","2023-01-02","MOSTRADOR","1","TID","08:49:13","753","INDE","274606"
"68,021","C","35","2023-01-02","MOSTRADOR","54","TPP","08:51:37","758","PAPA2","274607"
"15,071","C","30","2023-01-03","MOSTRADOR","5","3VZ","09:09:29","715","VERAC","274608"
"160,129","C","28","2023-01-03","MOSTRADOR","170","TCZ","09:10:24","625","COAT","274609"
"26,230","C","24","2023-01-02","MOSTRADOR","31","TZM","08:44:54","638","TMZ","274610"
"26,229","C","24","2023-01-02","MOSTRADOR","18","TZM","08:44:43","288","TMZ","274611"
"337,332","C","25","2023-01-02","MOSTRADOR","7","TPA","08:48:55","777","PAPAN","274612"
"164,686","C","27","2023-01-03","MOSTRADOR","223","TT3","08:38:05","779","HIDAL","274613"
"394,788","C","06","2023-01-03","MOSTRADOR","22","TTP","08:33:41","337","TL","274614"
"20,292","C","09","2023-01-02","MOSTRADOR","558","3MA","09:45:39","34","CA","274615"
"491,176","C","19","2023-01-02","MOSTRADOR","5","TID","08:47:43","511","INDE","274616"
"604,710","C","08","2023-01-02","MOSTRADOR","46","TT2","08:57:39","423","RP","274617"
"574,798","C","17","2023-01-03","MOSTRADOR","26","TMS","08:44:48","689","MISAN","274618"
"26,234","C","24","2023-01-02","MOSTRADOR","23","TZM","08:51:49","710","TMZ","274619"
"32,108","C","12","2023-01-02","MOSTRADOR","1","TXA","09:57:26","698","XALAP","274620"
"574,582","C","17","2023-01-02","MOSTRADOR","20","TMS","08:50:06","693","MISAN","274621"
"566,877","C","05","2023-01-02","MOSTRADOR","54","TT1","08:46:44","45","TZ","274622"
"534,111","C","03","2023-01-02","MOSTRADOR","88","TME","08:49:18","719","ME","274623"
"26,231","C","24","2023-01-02","MOSTRADOR","8","TZM","08:46:46","288","TMZ","274624"
"26,468","C","24","2023-01-03","MOSTRADOR","903","TZM","08:40:49","710","TMZ","274625"
"394,678","C","06","2023-01-02","MOSTRADOR","726","TTP","08:47:38","18","TL","274626"
"566,878","C","05","2023-01-02","MOSTRADOR","12","TT1","08:47:35","45","TZ","274627"
"164,685","C","27","2023-01-03","MOSTRADOR","0","TT3","08:32:39","779","HIDAL","274628"
"604,949","C","08","2023-01-03","MOSTRADOR","265","TT2","08:37:58","372","RP","274629"
"201,416","C","29","2023-01-02","MOSTRADOR","109","TGZ","08:54:51","771","GZAMO","274630"
"164,685","C","27","2023-01-03","MOSTRADOR","75","TT3","08:34:28","46","HIDAL","274631"
